PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,LOCAL_ADDRESS,REMOTE_ADDRESS,CWND,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP
12,0,CBR,App1_CBR,NODE-2,NODE-4,ROUTER-7,SWITCH-6,220000,220000,220252.24,220252.24,220252.24,220373.36,220378.36,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.5,192.32.63.8,192.32.63.1,192.32.63.8
12,0,CBR,App1_CBR,NODE-2,NODE-4,SWITCH-6,NODE-4,220000,220000,220252.24,220252.24,220378.36,220499.48,220504.48,1460,1460,1468,1488,1514,0,Errored,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.5,192.32.63.8,192.32.63.1,192.32.63.8
13,0,CBR,App1_CBR,NODE-2,NODE-4,NODE-2,SWITCH-5,240000,240000,240000,240000,240000,240121.12,240126.12,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.5,192.32.65.1,192.32.65.5,192.32.65.1
13,0,CBR,App1_CBR,NODE-2,NODE-4,SWITCH-5,ROUTER-7,240000,240000,240000,240000,240126.12,240247.24,240252.24,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.5,192.32.65.1,192.32.65.5,192.32.65.1
13,0,CBR,App1_CBR,NODE-2,NODE-4,ROUTER-7,SWITCH-6,240000,240000,240252.24,240252.24,240252.24,240373.36,240378.36,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.5,192.32.63.8,192.32.63.1,192.32.63.8
13,0,CBR,App1_CBR,NODE-2,NODE-4,SWITCH-6,NODE-4,240000,240000,240252.24,240252.24,240378.36,240499.48,240504.48,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.5,192.32.63.8,192.32.63.1,192.32.63.8
14,0,CBR,App1_CBR,NODE-2,NODE-4,NODE-2,SWITCH-5,260000,260000,260000,260000,260000,260121.12,260126.12,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.5,192.32.65.1,192.32.65.5,192.32.65.1
14,0,CBR,App1_CBR,NODE-2,NODE-4,SWITCH-5,ROUTER-7,260000,260000,260000,260000,260126.12,260247.24,260252.24,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.5,192.32.65.1,192.32.65.5,192.32.65.1
14,0,CBR,App1_CBR,NODE-2,NODE-4,ROUTER-7,SWITCH-6,260000,260000,260252.24,260252.24,260252.24,260373.36,260378.36,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.5,192.32.63.8,192.32.63.1,192.32.63.8
14,0,CBR,App1_CBR,NODE-2,NODE-4,SWITCH-6,NODE-4,260000,260000,260252.24,260252.24,260378.36,260499.48,260504.48,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.5,192.32.63.8,192.32.63.1,192.32.63.8
